Entity,Code,Year,Average total years of schooling for adult population (years)
Afghanistan,AFG,2012,3.4
Albania,ALB,2012,9.6
Algeria,DZA,2012,7.6
Andorra,AND,2012,10.2
Angola,AGO,2012,4.8
Antigua and Barbuda,ATG,2012,9.2
Argentina,ARG,2012,9.8
Armenia,ARM,2012,11.3
Australia,AUS,2012,12.6
Austria,AUT,2012,11.8
Azerbaijan,AZE,2012,10.7
Bahamas,BHS,2012,11.1
Bahrain,BHR,2012,8.8
Bangladesh,BGD,2012,5.1
Barbados,BRB,2012,10.5
Belarus,BLR,2012,12.0
Belgium,BEL,2012,11.2
Belize,BLZ,2012,10.5
Benin,BEN,2012,3.0
Bhutan,BTN,2012,2.5
Bolivia,BOL,2012,8.3
Bosnia and Herzegovina,BIH,2012,8.3
Botswana,BWA,2012,9.0
Brazil,BRA,2012,7.3
Brunei,BRN,2012,8.9
Bulgaria,BGR,2012,10.8
Burkina Faso,BFA,2012,1.4
Burundi,BDI,2012,2.7
Cambodia,KHM,2012,4.5
Cameroon,CMR,2012,5.7
Canada,CAN,2012,12.8
Cape Verde,CPV,2012,5.4
Central African Republic,CAF,2012,3.8
Chad,TCD,2012,2.1
Chile,CHL,2012,9.9
China,CHN,2012,7.5
Colombia,COL,2012,7.6
Comoros,COM,2012,4.6
Congo,COG,2012,6.2
Costa Rica,CRI,2012,8.5
Cote d'Ivoire,CIV,2012,4.5
Croatia,HRV,2012,11.0
Cuba,CUB,2012,10.8
Cyprus,CYP,2012,11.8
Czech Republic,CZE,2012,12.4
Democratic Republic of Congo,COD,2012,5.8
Denmark,DNK,2012,12.8
Djibouti,DJI,2012,4.0
Dominica,DMA,2012,7.9
Dominican Republic,DOM,2012,7.5
Ecuador,ECU,2012,8.1
Egypt,EGY,2012,6.8
El Salvador,SLV,2012,6.7
Equatorial Guinea,GNQ,2012,5.5
Eritrea,ERI,2012,3.9
Estonia,EST,2012,12.5
Ethiopia,ETH,2012,2.4
Fiji,FJI,2012,10.1
Finland,FIN,2012,12.4
France,FRA,2012,11.0
Gabon,GAB,2012,7.8
Gambia,GMB,2012,3.1
Georgia,GEO,2012,12.5
Germany,DEU,2012,14.0
Ghana,GHA,2012,6.8
Greece,GRC,2012,10.3
Grenada,GRD,2012,8.4
Guatemala,GTM,2012,4.6
Guinea,GIN,2012,2.4
Guinea-Bissau,GNB,2012,2.8
Guyana,GUY,2012,8.3
Haiti,HTI,2012,4.9
Honduras,HND,2012,5.5
Hong Kong,HKG,2012,11.6
Hungary,HUN,2012,12.2
Iceland,ISL,2012,11.5
India,IND,2012,5.6
Indonesia,IDN,2012,7.6
Iran,IRN,2012,9.5
Iraq,IRQ,2012,6.6
Ireland,IRL,2012,11.3
Israel,ISR,2012,12.8
Italy,ITA,2012,9.9
Jamaica,JAM,2012,9.2
Japan,JPN,2012,12.0
Jordan,JOR,2012,9.9
Kazakhstan,KAZ,2012,11.5
Kenya,KEN,2012,6.2
Kiribati,KIR,2012,7.9
Kuwait,KWT,2012,7.2
Kyrgyzstan,KGZ,2012,10.7
Laos,LAO,2012,5.0
Latvia,LVA,2012,12.6
Lebanon,LBN,2012,8.1
Lesotho,LSO,2012,5.9
Liberia,LBR,2012,4.3
Libya,LBY,2012,7.3
Liechtenstein,LIE,2012,12.3
Lithuania,LTU,2012,11.7
Luxembourg,LUX,2012,11.8
Macedonia,MKD,2012,9.3
Madagascar,MDG,2012,6.1
Malawi,MWI,2012,4.3
Malaysia,MYS,2012,10.1
Maldives,MDV,2012,5.5
Mali,MLI,2012,2.1
Malta,MLT,2012,10.8
Marshall Islands,MHL,2012,10.8
Mauritania,MRT,2012,4.0
Mauritius,MUS,2012,8.6
Mexico,MEX,2012,8.6
Micronesia (country),FSM,2012,7.7
Moldova,MDA,2012,11.4
Mongolia,MNG,2012,9.9
Montenegro,MNE,2012,11.2
Morocco,MAR,2012,4.6
Mozambique,MOZ,2012,3.3
Myanmar,MMR,2012,4.5
Namibia,NAM,2012,6.4
Nepal,NPL,2012,4.0
Netherlands,NLD,2012,12.0
New Zealand,NZL,2012,12.1
Nicaragua,NIC,2012,6.3
Niger,NER,2012,1.6
Nigeria,NGA,2012,5.7
Norway,NOR,2012,12.6
Oman,OMN,2012,8.6
Pakistan,PAK,2012,4.8
